ProbID	Method	Total_Gaze_Points	Gaze_Points_Tablet	Frame_Count	Tablet
0	Direct Touch	34471	233	14428	2923
0	Buttons	47204	421	17896	4343
0	Indirect Touch	41032	7068	16901	5807
0	Analogue Stick	50153	4151	18666	5651
1	Buttons	47263	278	16021	4224
1	Analogue Stick	46396	1528	15295	3059
1	Direct Touch	38847	328	13496	1611
1	Indirect Touch	49061	362	16307	3116
2	Analogue Stick	56953	3382	18790	2749
2	Indirect Touch	57655	1308	18981	1363
2	Buttons	51530	762	17389	1088
2	Direct Touch	49214	1043	15725	1082
3	Indirect Touch	53037	5246	15431	3309
3	Direct Touch	48387	2447	13558	1880
3	Analogue Stick	53790	5830	14921	2737
3	Buttons	50836	7692	13450	4302
4	Direct Touch	39955	475	13433	2771
4	Indirect Touch	59936	1948	19725	7269
4	Analogue Stick	53611	3328	17218	6464
4	Buttons	55221	10037	15079	4978
6	Analogue Stick	60872	28875	16876	12142
6	Indirect Touch	72773	28121	19173	11136
6	Buttons	55700	21372	15456	10536
6	Direct Touch	59962	28328	16687	12619
7	Indirect Touch	47684	6360	20728	8980
7	Direct Touch	35104	3307	14989	4363
7	Buttons	35809	2772	15875	5103
7	Analogue Stick	39124	1535	16561	6004
8	Direct Touch	56570	1381	19270	18088
8	Buttons	46624	581	15760	14784
8	Indirect Touch	58610	3535	20602	19326
8	Analogue Stick	47502	768	17377	16394
9	Buttons	56539	342	18648	1309
9	Analogue Stick	55213	0	19301	0
9	Direct Touch	46616	65	14289	424
9	Indirect Touch	67202	167	21027	1450
10	Analogue Stick	42275	114	18850	15853
10	Indirect Touch	46472	1258	21353	18500
10	Buttons	41017	380	18066	12386
10	Direct Touch	34559	332	16146	11551
11	Indirect Touch	49476	7533	18073	7298
11	Direct Touch	37103	1929	13043	2586
11	Analogue Stick	49467	4942	17080	5228
11	Buttons	44263	4121	15249	4641
12	Direct Touch	37309	1147	14362	2508
12	Buttons	36906	1403	14404	3895
12	Indirect Touch	43336	2801	16559	5811
12	Analogue Stick	39116	2658	15062	4915
14	Analogue Stick	57254	2160	18636	756
14	Indirect Touch	53882	2449	16989	1011
14	Buttons	54302	1497	15290	866
14	Direct Touch	47611	5157	14045	1991
15	Indirect Touch	50149	8	18301	1018
15	Direct Touch	42159	7	13789	889
15	Analogue Stick	52997	1	17707	2637
15	Buttons	43005	0	16235	1195
16	Direct Touch	53003	154	14392	231
16	Buttons	58905	288	15447	443
16	Indirect Touch	52341	1417	15082	1137
16	Analogue Stick	57064	1581	16556	1994
17	Buttons	53682	976	14952	4821
17	Analogue Stick	58115	381	15531	7635
17	Direct Touch	49131	873	12567	5891
17	Indirect Touch	55213	177	16144	8313
18	Analogue Stick	63270	903	17789	12344
18	Indirect Touch	65552	1432	18136	13924
18	Buttons	55401	2135	16363	11990
18	Direct Touch	46048	957	13510	7191
19	Indirect Touch	56824	4146	16652	3790
19	Direct Touch	49579	1973	14044	1673
19	Analogue Stick	58508	6016	16443	3504
19	Buttons	53690	3257	14843	2905
20	Direct Touch	39876	4562	12263	3362
20	Buttons	43030	5592	12531	4544
20	Indirect Touch	56494	7594	16414	7679
20	Analogue Stick	44996	4295	14123	4584
21	Buttons	43326	162	13307	4208
21	Analogue Stick	40298	129	13410	4172
21	Direct Touch	35946	107	12272	1830
21	Indirect Touch	43694	432	15229	4632
22	Analogue Stick	50144	5591	14827	7284
22	Indirect Touch	52435	6682	15931	8903
22	Buttons	41944	4627	14384	10181
22	Direct Touch	37272	2991	12672	7270
23	Indirect Touch	52226	27	18036	264
23	Direct Touch	39319	111	13831	772
23	Analogue Stick	40535	387	14608	3027
23	Buttons	41527	330	15691	2694
