ProbID	Question	QuestionType	Answer	Method
0	How old are you?	General	32	General
0	What is your gender?	General	Female	General
0	How often do you ride a bicycle?	General	Never	General
0	Which types of bicycles have you ridden so far?	General	City/Trekking bike;Mountain bike	General
0	How often do you use a smartphone while riding a bicycle?	General	1	General
0	If you used a smartphone while riding a bicycle, what did you do with it?	General		General
0	In what environment did you use your smartphone while riding your bicycle?	General		General
0	How did you use a smartphone while riding your bicycle?	General		General
0	How safe did you feel while operating the device?	Likert	2	Direct Touch (Tablet)
0	How comfortable did you feel?	Likert	1	Direct Touch (Tablet)
0	I could focus on cycling while using the input method.	Likert	1	Direct Touch (Tablet)
0	The input felt physically effortless.	Likert	4	Direct Touch (Tablet)
0	I found it easy to understand how to use the input method.	Likert	4	Direct Touch (Tablet)
0	Did you feel that using touch input required you to look away from the road/environment too much?	Likert	5	Direct Touch (Tablet)
0	I could reach the targets precisely with the input method.	Likert	3	Direct Touch (Tablet)
0	How safe did you feel while operating the device?	Likert	3	Buttons (Remote)
0	How comfortable did you feel?	Likert	3	Buttons (Remote)
0	I found it easy to understand how to use the input method.	Likert	4	Buttons (Remote)
0	I could reach the targets precisely with the input method.	Likert	2	Buttons (Remote)
0	I could focus on cycling while using the input method.	Likert	1	Buttons (Remote)
0	The input felt physically effortless.	Likert	5	Buttons (Remote)
0	The remote control did not interfere with my grip or steering.	Likert	2	Buttons (Remote)
0	I enjoyed using this remote control.	Likert	3	Buttons (Remote)
0	How safe did you feel while operating the device?	Likert	1	Indirect Touch (Remote)
0	How comfortable did you feel?	Likert	1	Indirect Touch (Remote)
0	I found it easy to understand how to use the input method.	Likert	3	Indirect Touch (Remote)
0	I could reach the targets precisely with the input method.	Likert	2	Indirect Touch (Remote)
0	I could focus on cycling while using the input method.	Likert	1	Indirect Touch (Remote)
0	The input felt physically effortless.	Likert	2	Indirect Touch (Remote)
0	The remote control did not interfere with my grip or steering.	Likert	2	Indirect Touch (Remote)
0	I enjoyed using this remote control.	Likert	1	Indirect Touch (Remote)
0	How safe did you feel while operating the device?	Likert	5	Analog Stick (Remote)
0	How comfortable did you feel?	Likert	5	Analog Stick (Remote)
0	I found it easy to understand how to use the input method.	Likert	5	Analog Stick (Remote)
0	I could reach the targets precisely with the input method.	Likert	5	Analog Stick (Remote)
0	I could focus on cycling while using the input method.	Likert	4	Analog Stick (Remote)
0	The input felt physically effortless.	Likert	5	Analog Stick (Remote)
0	The remote control did not interfere with my grip or steering.	Likert	5	Analog Stick (Remote)
0	I enjoyed using this remote control.	Likert	5	Analog Stick (Remote)
0	Which input method did you find the best overall?	Overall	Analog Stick (Remote)	Overall
0	Which input method did you find the easiest to use?	Overall	Analog Stick (Remote)	Overall
0	Which input method did you feel the safest using?	Overall	Analog Stick (Remote)	Overall
0	Which input method allowed you to select the targets most accurately?	Overall	Analog Stick (Remote)	Overall
0	Which input method allowed you to access the targets the quickest?	Overall	Analog Stick (Remote)	Overall
0	Which input method would you prefer to use if you had to use it regularly on a bike?	Overall	Analog Stick (Remote)	Overall
0	Do you have any suggestions for improving the input methods?	Overall		Overall
1	How old are you?	General	33	General
1	What is your gender?	General	Male	General
1	How often do you ride a bicycle?	General	At least once a week	General
1	Which types of bicycles have you ridden so far?	General	City/Trekking bike;Mountain bike	General
1	How often do you use a smartphone while riding a bicycle?	General	2	General
