"Zeitstempel","Participant ID","How old are you? ","What is your gender?","How often do you ride a bicycle?","Which types of bicycles have you ridden so far?","How often do you use a smartphone while riding a bicycle?","If you used a smartphone while riding a bicycle, what did you do with it?","In what environment did you use your smartphone while riding your bicycle?","How did you use a smartphone while riding your bicycle?","Bicycle Setup","How safe did you feel while operating the device?","How comfortable did you feel?","How distracting was the direct interaction with the tablet while riding? ","How easy was it to keep your balance while interacting with the touchscreen?  ","How intuitive was the touch interface in this context?  ","Did you feel that using touch input required you to look away from the road/environment too much?  ","How confident were you in hitting the correct targets using touch input?  ","Is there anything you found particularly helpful or problematic about using touch input while cycling?  ","I found it easy to understand how to use the remote control.  ","I could reach the targets precisely with the remote control.  ","I could focus on cycling while using the remote control.  ","The input felt physically effortless (e.g., required little strength or finger movement).  ","The remote control did not interfere with my grip or steering.  ","I enjoyed using this remote control.  ","Is there anything you found particularly helpful or problematic about using this remote input while cycling?  ","Bicycle Setup","How safe did you feel while operating the device?","How comfortable did you feel?","How distracting was the direct interaction with the tablet while riding? ","How easy was it to keep your balance while interacting with the touchscreen?  ","How intuitive was the touch interface in this context?  ","Did you feel that using touch input required you to look away from the road/environment too much?  ","How confident were you in hitting the correct targets using touch input?  ","Is there anything you found particularly helpful or problematic about using touch input while cycling?  ","I found it easy to understand how to use the remote control.  ","I could reach the targets precisely with the remote control.  ","I could focus on cycling while using the remote control.  ","The input felt physically effortless (e.g., required little strength or finger movement).  ","The remote control did not interfere with my grip or steering.  ","I enjoyed using this remote control.  ","Is there anything you found particularly helpful or problematic about using this remote input while cycling?  ","Bicycle Setup","How safe did you feel while operating the device?","How comfortable did you feel?","How distracting was the direct interaction with the tablet while riding? ","How easy was it to keep your balance while interacting with the touchscreen?  ","How intuitive was the touch interface in this context?  ","Did you feel that using touch input required you to look away from the road/environment too much?  ","How confident were you in hitting the correct targets using touch input?  ","Is there anything you found particularly helpful or problematic about using touch input while cycling?  ","I found it easy to understand how to use the remote control.  ","I could reach the targets precisely with the remote control.  ","I could focus on cycling while using the remote control.  ","The input felt physically effortless (e.g., required little strength or finger movement).  ","The remote control did not interfere with my grip or steering.  ","I enjoyed using this remote control.  ","Is there anything you found particularly helpful or problematic about using this remote input while cycling?  ","Bicycle Setup","How safe did you feel while operating the device?","How comfortable did you feel?","How distracting was the direct interaction with the tablet while riding? ","How easy was it to keep your balance while interacting with the touchscreen?  ","How intuitive was the touch interface in this context?  ","Did you feel that using touch input required you to look away from the road/environment too much?  ","How confident were you in hitting the correct targets using touch input?  ","Is there anything you found particularly helpful or problematic about using touch input while cycling?  ","I found it easy to understand how to use the remote control.  ","I could reach the targets precisely with the remote control.  ","I could focus on cycling while using the remote control.  ","The input felt physically effortless (e.g., required little strength or finger movement).  ","The remote control did not interfere with my grip or steering.  ","I enjoyed using this remote control.  ","Is there anything you found particularly helpful or problematic about using this remote input while cycling?  ","Which input method did you find the best overall? ","Please justify your selection:","Which input method did you find the easiest to use? ","Please justify your selection:","Which input method did you feel the safest using? ","Please justify your selection:","Which input method allowed you to select the targets most accurately? ","Please justify your selection:","Which input method allowed you to access the targets the quickest? ","Please justify your selection:","Which input method would you prefer to use if you had to use it regularly on a bike? ","Please justify your selection:","Do you have any suggestions for improving the input methods?  ","Was there anything you particularly liked or found problematic while using the input methods? "
"2025/05/19 5:23:41 PM OESZ","0","32","Female","Never","City/Trekking bike;Mountain bike","1","","","","Direct Touch (Tablet)","2","1","5","4","4","5","3","","","","","","","","","Buttons (Remote)","3","3","","","","","","","4","2","1","5","2","3","","Indirect Touch (Remote)","1","1","","","","","","","3","2","1","2","2","1","Ich empfinde diese Art der Bedingung als zu umständlich wenn ich auch einfach direkt auf dem Tablett rumtippen kann.","Analog Stick (Remote)","5","5","","","","","","","5","5","4","5","5","5","Von allen Eingabe Methode empfand ich diese als intuitivsten und angenehmsten ","Analog Stick (Remote)","Intuitiv da ich es vom Gaming kenne","Analog Stick (Remote)","","Analog Stick (Remote)","","Analog Stick (Remote)","","Analog Stick (Remote)","","Analog Stick (Remote)","","",""
"2025/05/21 7:03:59 PM OESZ","1","33","Male","At least once a week","City/Trekking bike;Mountain bike","2","Looked up information on the Internet or for driving directions;Use a smartphone to send text messages;Use a smartphone to read text messages;Use a smartphone to respond a call;Use a smartphone for music control","Side road;Dirt road;Red traffic light","One-handed;Voice assistent;Headphone remote control","Buttons (Remote)","5","3","","","","","","","5","5","5","4","4","4","The mounting plate is too loose. It gives way when the button is pressed.","Analog Stick (Remote)","5","5","","","","","","","5","5","5","4","5","5","Just like a game controller. Simple and efficient. A little bit hard to reach.","Direct Touch (Tablet)","3","3","2","4","5","1","5","Very fast, very precise. But much more unstable with one hand, especially the slower you ride.","","","","","","","","Indirect Touch (Remote)","5","5","","","","","","","5","3","4","5","5","5","A new experience. Very interesting.","Analog Stick (Remote)","Most intuitive.","Analog Stick (Remote)","Most intuitive.","Buttons (Remote)","When a destination was in sight, you could read off the distance at a glance and then use the buttons to enter the information blindly, allowing you to concentrate on the road.","Buttons (Remote)","","Direct Touch (Tablet)","Much faster scrolling and selection.","Analog Stick (Remote)","Most intuitive.","More stable installation, smaller design and therefore easier and safer to reach.",""
"2025/05/23 9:24:30 PM OESZ","2","32","Female","Never","None","1","None","/","/","Analog Stick (Remote)","4","4","","","","","","","5","4","4","5","1","4","/","Indirect Touch (Remote)","1","1","","","","","","","5","3","2","2","2","1","/","Buttons (Remote)","5","4","","","","","","","5","5","4","4","4","4","/","Direct Touch (Tablet)","3","2","3","4","4","4","3","/","","","","","","","","Analog Stick (Remote)","War nice","Buttons (Remote)","/","Analog Stick (Remote)","/","Analog Stick (Remote)","/","Analog Stick (Remote)","/","Analog Stick (Remote)","/","/","/"
"2025/05/24 10:37:21 PM OESZ","3","30","Male","At least once a week","Mountain bike","2","Looked up information on the Internet or for driving directions;Use a smartphone for music control","Cycle lane / Cycle path;Dirt road;Red traffic light","One-handed;Headphone remote control","Indirect Touch (Remote)","3","2","","","","","","","5","2","2","4","1","2","Not practical on bumpy road","Direct Touch (Tablet)","4","5","4","5","5","4","4","Had to steer with one hand","","","","","","","","Analog Stick (Remote)","4","3","","","","","","","4","2","3","5","5","3","Sometimes hard to push the remote control without changeing the target by mistake","Buttons (Remote)","5","4","","","","","","","5","5","4","4","5","4","","Direct Touch (Tablet)","I could select the targets the fastest","Direct Touch (Tablet)","Because I am used to this type of input method ","Buttons (Remote)","Easy to find the right button for the navigation even on bumpy roads","Buttons (Remote)","Each button had its own function, so you didn't use the wrong action by mistake","Direct Touch (Tablet)","See a lot of possible targets on the screen for selection without the need to navigate to them","Direct Touch (Tablet)","Most versatile and works best with apps that are designed for touch devices","Speech recognition?",""
"2025/06/06 10:38:42 PM OESZ","4","44","Male","At least once a month","Mountain bike","2","Use a smartphone for music control","Country lane;Dirt road","One-handed","Direct Touch (Tablet)","5","5","2","5","5","2","5","Using the tablet is like using the mobile, easy because of the knowledge how to touch it","","","","","","","","Buttons (Remote)","3","2","","","","","","","5","4","2","3","1","2","Something similar not in usage so it was quite new ","Indirect Touch (Remote)","4","3","","","","","","","5","3","3","4","1","3","Usage is different compared to the usage of a mobile or tablet as you needed to swipe more ","Analog Stick (Remote)","5","4","","","","","","","5","4","3","4","1","3","Sometimes the reaction was not given","Direct Touch (Tablet)","As it is like using a mobile it was easy to use without being too mich distracted","Direct Touch (Tablet)","Same as above","Direct Touch (Tablet)","Same as above ","Direct Touch (Tablet)","Same as above ","Direct Touch (Tablet)","Same as above","Direct Touch (Tablet)","Same as above","Nothing to improve. Very interesting Test with different types of input methods ","I liked a lot the the interaction with the student for whom I participated as it was like being on a normal ride with the test sequence in between"
"2025/06/07 6:53:04 PM OESZ","5","32","Male","At least once a week","City/Trekking bike;Mountain bike","2","Looked up information on the Internet or for driving directions","Main road;Side road;Country lane;Dirt road","One-handed","Buttons (Remote)","5","4","","","","","","","5","5","4","5","4","4","Bestes haptisches Feedback, dadurch weniger Ablenkung","Analog Stick (Remote)","4","3","","","","","","","3","3","3","2","3","3","Joystick reagierte unsensibel","Direct Touch (Tablet)","4","4","4","4","4","4","4","","","","","","","","","Indirect Touch (Remote)","3","1","","","","","","","3","2","2","2","3","1","","Buttons (Remote)","Beste Sensibilität, haptisches Feedback, wenigste Ablenkung.","Direct Touch (Tablet)","Direkte Steuerung","Buttons (Remote)","Geringste Ablenkung","Direct Touch (Tablet)","Direkte Steuerung","Direct Touch (Tablet)","Direkte Steuerung","Direct Touch (Tablet)","Intuitiv","",""
"2025/06/11 7:14:13 PM OESZ","7","30","Male","At least once a year","Road/Cyclocross/Gravel bike","1","Looked up information on the Internet or for driving directions","Side road","One-handed","Indirect Touch (Remote)","4","2","","","","","","","4","3","4","4","4","4","","Direct Touch (Tablet)","4","4","3","4","4","5","5","","","","","","","","","Buttons (Remote)","5","5","","","","","","","5","5","5","5","5","5","","Analog Stick (Remote)","4","4","","","","","","","4","3","5","4","4","4","","Analog Stick (Remote)","","Buttons (Remote)","","Buttons (Remote)","","Analog Stick (Remote)","","Indirect Touch (Remote)","","Direct Touch (Tablet)","","",""
"2025/06/11 10:58:21 PM OESZ","6","34","Male","At least once a week","City/Trekking bike","2","Looked up information on the Internet or for driving directions;Use a smartphone to respond a call;Use a smartphone to make a call","Side road;Cycle lane / Cycle path","One-handed","Analog Stick (Remote)","3","4","","","","","","","4","4","3","3","2","4","Teilweise unterschiedliche Geschwindigkeit der App was es manchmal schwerer macht, das Feld zu treffen ","Indirect Touch (Remote)","3","2","","","","","","","2","3","3","4","3","2","Zu filigrane Bedienung","Buttons (Remote)","5","5","","","","","","","4","4","4","2","2","5","Meines Erachtens die einfachste Bedienungsmöglichkeit. Erfordert wenig Geschick.","Direct Touch (Tablet)","3","3","3","4","4","4","3","Größter Nachteil meines Erachtens ist, dass eine Hand vom Lenker genommen werden muss. Bedienung zudem relativ unpräzise im Vergleich mit dem Buttons und Analog Stick.","","","","","","","","Buttons (Remote)","Erfordert am wenigsten Geschicklichkeit. Einfach zu bedienen.","Buttons (Remote)","Siehe oben","Buttons (Remote)","Siehe oben ","Buttons (Remote)","Siehe oben ","Analog Stick (Remote)","Schnelle Bedienbarkeit.","Buttons (Remote)","Hat am meisten Vorteile. Einfache und präzise Bedienung.","Guter Test. Nichts zu beanstanden.","Interessant zu sehen, inwieweit die Eingabemethoden vom Fahren ablenken. Problematisch fand ich die Eingabemethode über das indirect Touch Pad. "
"2025/06/13 3:51:47 PM OESZ","8","36","Male","(Almost) Every day","Mountain bike;Road/Cyclocross/Gravel bike","1","Looked up information on the Internet or for driving directions","Main road;Side road;Cycle lane / Cycle path;Country lane","One-handed","Direct Touch (Tablet)","2","2","4","3","2","4","2","Fingers to dry","","","","","","","","Analog Stick (Remote)","4","4","","","","","","","5","3","4","4","4","4","Unevenness are disturbend","Buttons (Remote)","4","4","","","","","","","5","5","4","5","4","5","","Indirect Touch (Remote)","3","3","","","","","","","4","2","2","4","3","3","","Buttons (Remote)","Best Feeling  precise selection","Buttons (Remote)","very intuitive","Buttons (Remote)","I can use it with both hands on handlebars","Buttons (Remote)","Precise selection","Analog Stick (Remote)","Its precise and i dont have reach wide","Buttons (Remote)","Its the easiest and very inuitive","","Touchscreens were problematic for me"
"2025/06/17 9:40:41 PM OESZ","9","45","Male","At least once a year","Mountain bike","1","Looked up information on the Internet or for driving directions;Use a smartphone for music control","Main road;Side road;Cycle lane / Cycle path","Voice assistent;Headphone remote control","Buttons (Remote)","2","1","","","","","","","5","4","3","3","1","3","Distance Netzwerk the buttons are top big","Analog Stick (Remote)","3","4","","","","","","","5","3","3","4","3","4","","Direct Touch (Tablet)","5","5","2","3","5","4","5","sometimes you cover the screen with your finger and do not see what you are pressing","","","","","","","","Indirect Touch (Remote)","5","1","","","","","","","5","1","2","1","4","3","Due to the sensitivity, many work steps had to be repeated, which led to a longer selection time and thus distraction","Analog Stick (Remote)","You don't have to take your hands off the handlebars and you have good control over the controls even on different surfaces.","Direct Touch (Tablet)","Intuitive and highly trained through the use of smartphones, tablets and other interfaces.","Buttons (Remote)","You don't have to take your hands off the handlebars and you have good control over the controls even on different surfaces. I really like the haptic feedback.","Direct Touch (Tablet)","Easy and high precision ","Direct Touch (Tablet)","","Analog Stick (Remote)","","",""
