Timestamp, Selection, Source, Description, Index
1753717270341, Vertical, State, INIT, 
1753717270346, Vertical, State, START, 
1753717271104, Vertical, User Event, Clicked, 11
1753717271135, Vertical, State, START, 
1753717272741, Vertical, State, WAIT, 
1753717295612, Vertical, State, RESET, 
1753717295632, Vertical, App Event, Target direction[Up], 11
1753717302973, Vertical, User Event, Clicked, 12
1753717303150, Vertical, User Event, Clicked, 12
1753717304374, Vertical, User Event, Clicked, 11
1753717304398, Vertical, App Event, Target selected, 
1753717304414, Vertical, State, WAIT, 
1753717324345, Vertical, State, RESET, 
1753717324366, Vertical, App Event, Target direction[Down], 17
1753717332224, Vertical, User Event, Clicked, 17
1753717332248, Vertical, App Event, Target selected, 
1753717332262, Vertical, State, WAIT, 
1753717332743, Vertical, User Event, Clicked, 17
1753717332767, Vertical, State, WAIT, 
1753717356500, Vertical, State, RESET, 
1753717356513, Vertical, App Event, Target direction[Down_out], 20
1753717374140, Vertical, User Event, Clicked, 20
1753717374164, Vertical, App Event, Target selected, 
1753717374178, Vertical, State, WAIT, 
1753717374602, Vertical, User Event, Clicked, 20
1753717374624, Vertical, State, WAIT, 
1753717397399, Vertical, State, RESET, 
1753717397416, Vertical, App Event, Target direction[Down_out], 21
1753717410191, Vertical, User Event, Clicked, 21
1753717410214, Vertical, App Event, Target selected, 
1753717410222, Vertical, State, WAIT, 
1753717410653, Vertical, User Event, Clicked, 21
1753717410676, Vertical, State, WAIT, 
1753717433566, Vertical, State, RESET, 
1753717433590, Vertical, App Event, Target direction[Up], 11
1753717439210, Vertical, User Event, Clicked, 11
1753717439230, Vertical, App Event, Target selected, 
1753717439245, Vertical, State, WAIT, 
1753717457724, Vertical, State, RESET, 
1753717457743, Vertical, App Event, Target direction[Up_out], 5
1753717461508, Vertical, User Event, Clicked, 5
1753717461529, Vertical, App Event, Target selected, 
1753717461539, Vertical, State, WAIT, 
1753717478845, Vertical, State, RESET, 
1753717478865, Vertical, App Event, Target direction[Up_out], 2
1753717486483, Vertical, User Event, Clicked, 2
1753717486504, Vertical, App Event, Target selected, 
1753717486518, Vertical, State, WAIT, 
1753717509842, Vertical, State, RESET, 
1753717509860, Vertical, App Event, Target direction[Down], 17
1753717512872, Vertical, User Event, Clicked, 17
1753717512890, Vertical, App Event, Target selected, 
1753717512904, Vertical, State, END, 
1753717512917, Vertical, App Event, Vertical assignment finished, 
1753717512958, Vertical, State, INIT, 
1753717512968, Vertical, State, START, 
1753717513109, Horizontal, State, INIT, 
1753717513117, Horizontal, State, START, 
1753717515437, Horizontal, State, WAIT, 
1753717533608, Horizontal, State, RESET, 
1753717533628, Horizontal, App Event, Target direction[Right], 11
1753717538718, Horizontal, User Event, Clicked, 11
1753717538738, Horizontal, App Event, Target selected, 
1753717538751, Horizontal, State, WAIT, 
1753717559733, Horizontal, State, RESET, 
1753717559753, Horizontal, App Event, Target direction[Left_out], 2
1753717565842, Horizontal, User Event, Clicked, 2
1753717565862, Horizontal, App Event, Target selected, 
1753717565876, Horizontal, State, WAIT, 
1753717589934, Horizontal, State, RESET, 
1753717589952, Horizontal, App Event, Target direction[Left], 6
1753717592209, Horizontal, User Event, Clicked, 5
1753717595481, Horizontal, User Event, Clicked, 6
1753717595497, Horizontal, App Event, Target selected, 
1753717595505, Horizontal, State, WAIT, 
1753717612487, Horizontal, State, RESET, 
1753717612508, Horizontal, App Event, Target direction[Right_out], 16
