Timestamp, Selection, Source, Description, Index
1747825087791, Horizontal, State, INIT, 
1747825087797, Horizontal, State, START, 
1747825090108, Horizontal, State, WAIT, 
1747825091030, Horizontal, Control Event, RIGHT, 10
1747825091049, Horizontal, State, WAIT, 
1747825112418, Horizontal, State, RESET, 
1747825112433, Horizontal, App Event, Target direction[Right], 13
1747825115765, Horizontal, Control Event, RIGHT, 10
1747825116264, Horizontal, Control Event, RIGHT, 11
1747825116659, Horizontal, Control Event, RIGHT, 12
1747825117145, Horizontal, Control Event, RIGHT, 13
1747825117752, Horizontal, Control Event, SELECT, 13
1747825117779, Horizontal, App Event, Target selected, 
1747825117802, Horizontal, State, WAIT, 
1747825137771, Horizontal, State, RESET, 
1747825137787, Horizontal, App Event, Target direction[Left], 7
1747825140137, Horizontal, Control Event, LEFT, 8
1747825140439, Horizontal, Control Event, LEFT, 7
1747825140899, Horizontal, Control Event, SELECT, 7
1747825140922, Horizontal, App Event, Target selected, 
1747825140945, Horizontal, State, WAIT, 
1747825157636, Horizontal, State, RESET, 
1747825157657, Horizontal, App Event, Target direction[Right_out], 17
1747825162804, Horizontal, Control Event, RIGHT, 10
1747825164496, Horizontal, Control Event, RIGHT, 11
1747825164602, Horizontal, Control Event, RIGHT, 12
1747825164919, Horizontal, Control Event, RIGHT, 13
1747825165315, Horizontal, Control Event, RIGHT, 14
1747825165934, Horizontal, Control Event, RIGHT, 15
1747825166553, Horizontal, Control Event, RIGHT, 16
1747825167172, Horizontal, Control Event, RIGHT, 17
1747825167907, Horizontal, Control Event, SELECT, 17
1747825167928, Horizontal, App Event, Target selected, 
1747825167951, Horizontal, State, WAIT, 
1747825187644, Horizontal, State, RESET, 
1747825187666, Horizontal, App Event, Target direction[Right_out], 16
1747825190553, Horizontal, Control Event, RIGHT, 10
1747825190813, Horizontal, Control Event, RIGHT, 11
1747825191051, Horizontal, Control Event, RIGHT, 12
1747825191531, Horizontal, Control Event, RIGHT, 13
1747825191828, Horizontal, Control Event, RIGHT, 14
1747825192030, Horizontal, Control Event, RIGHT, 15
1747825192112, Horizontal, Control Event, RIGHT, 16
1747825192924, Horizontal, Control Event, SELECT, 16
1747825192946, Horizontal, App Event, Target selected, 
1747825192968, Horizontal, State, WAIT, 
1747825212037, Horizontal, State, RESET, 
1747825212054, Horizontal, App Event, Target direction[Left_out], 2
1747825214373, Horizontal, Control Event, LEFT, 8
1747825214713, Horizontal, Control Event, LEFT, 7
1747825214881, Horizontal, Control Event, LEFT, 6
1747825215182, Horizontal, Control Event, LEFT, 5
1747825215302, Horizontal, Control Event, LEFT, 4
1747825215664, Horizontal, Control Event, LEFT, 3
1747825216197, Horizontal, Control Event, LEFT, 2
1747825216712, Horizontal, Control Event, LEFT, 1
1747825217342, Horizontal, Control Event, RIGHT, 2
1747825217726, Horizontal, Control Event, SELECT, 2
1747825217748, Horizontal, App Event, Target selected, 
1747825217773, Horizontal, State, WAIT, 
1747825242269, Horizontal, State, RESET, 
1747825242291, Horizontal, App Event, Target direction[Left_out], 3
1747825244523, Horizontal, Control Event, LEFT, 8
1747825245185, Horizontal, Control Event, LEFT, 7
1747825245387, Horizontal, Control Event, LEFT, 6
1747825245641, Horizontal, Control Event, LEFT, 5
1747825246005, Horizontal, Control Event, LEFT, 4
1747825246306, Horizontal, Control Event, LEFT, 3
1747825247599, Horizontal, Control Event, SELECT, 3
1747825247625, Horizontal, App Event, Target selected, 
1747825247644, Horizontal, State, WAIT, 
1747825263437, Horizontal, State, RESET, 
1747825263460, Horizontal, App Event, Target direction[Right], 13
1747825266463, Horizontal, Control Event, RIGHT, 10
1747825266684, Horizontal, Control Event, RIGHT, 11
1747825266884, Horizontal, Control Event, RIGHT, 12
1747825267203, Horizontal, Control Event, RIGHT, 13
1747825267881, Horizontal, Control Event, SELECT, 13
1747825267903, Horizontal, App Event, Target selected, 
1747825267929, Horizontal, State, WAIT, 
1747825286233, Horizontal, State, RESET, 
1747825286258, Horizontal, App Event, Target direction[Left], 5
1747825288809, Horizontal, Control Event, LEFT, 8
1747825289011, Horizontal, Control Event, LEFT, 7
1747825289211, Horizontal, Control Event, LEFT, 6
1747825289516, Horizontal, Control Event, LEFT, 5
1747825289993, Horizontal, Control Event, SELECT, 5
1747825290018, Horizontal, App Event, Target selected, 
1747825290039, Horizontal, State, END, 
1747825290059, Horizontal, App Event, Horizontal assignment finished, 
1747825290152, Horizontal, State, INIT, 
1747825290176, Horizontal, State, START, 
1747825290279, 2D, State, INIT, 
1747825290288, 2D, State, START, 
1747825292951, 2D, State, WAIT, 
1747825308656, 2D, State, RESET, 
1747825308676, 2D, App Event, Target direction[Up_out_left], 2 / 1
1747825310967, 2D, Control Event, LEFT, 7 / 4
1747825311464, 2D, Control Event, LEFT, 7 / 3
1747825311715, 2D, Control Event, LEFT, 7 / 2
1747825312368, 2D, Control Event, LEFT, 7 / 1
1747825313666, 2D, Control Event, UP, 6 / 1
1747825314036, 2D, Control Event, UP, 5 / 1
1747825314181, 2D, Control Event, UP, 4 / 1
1747825314532, 2D, Control Event, UP, 3 / 1
1747825315158, 2D, Control Event, UP, 2 / 1
1747825315851, 2D, Control Event, SELECT, 2 / 1
1747825315876, 2D, App Event, Target selected, 
1747825315900, 2D, State, WAIT, 
1747825332376, 2D, State, RESET, 
1747825332402, 2D, App Event, Target direction[Up_right], 5 / 7
1747825335475, 2D, Control Event, RIGHT, 7 / 6
1747825335614, 2D, Control Event, RIGHT, 7 / 7
1747825335773, 2D, Control Event, RIGHT, 7 / 8
1747825336737, 2D, Control Event, UP, 6 / 8
1747825337051, 2D, Control Event, UP, 5 / 8
1747825338075, 2D, Control Event, LEFT, 5 / 7
1747825338282, 2D, Control Event, SELECT, 5 / 7
1747825338301, 2D, App Event, Target selected, 
1747825338334, 2D, State, WAIT, 
1747825359875, 2D, State, RESET, 
1747825359897, 2D, App Event, Target direction[Up_left], 5 / 4
1747825363073, 2D, Control Event, LEFT, 7 / 4
1747825363655, 2D, Control Event, UP, 6 / 4
1747825364468, 2D, Control Event, UP, 5 / 4
1747825364952, 2D, Control Event, SELECT, 5 / 4
1747825364974, 2D, App Event, Target selected, 
1747825364995, 2D, State, WAIT, 
1747825383816, 2D, State, RESET, 
1747825383834, 2D, App Event, Target direction[Down_right], 10 / 6
1747825386251, 2D, Control Event, DOWN, 8 / 5
1747825386507, 2D, Control Event, DOWN, 9 / 5
1747825386594, 2D, Control Event, DOWN, 10 / 5
1747825386708, 2D, Control Event, DOWN, 11 / 5
1747825387749, 2D, Control Event, UP, 10 / 5
1747825389810, 2D, Control Event, RIGHT, 10 / 6
1747825390455, 2D, Control Event, SELECT, 10 / 6
1747825390477, 2D, App Event, Target selected, 
1747825390503, 2D, State, WAIT, 
1747825410769, 2D, State, RESET, 
1747825410787, 2D, App Event, Target direction[Down_out_left], 13 / 2
1747825413962, 2D, Control Event, LEFT, 7 / 4
1747825414180, 2D, Control Event, LEFT, 7 / 3
1747825414683, 2D, Control Event, LEFT, 7 / 2
1747825415764, 2D, Control Event, DOWN, 8 / 2
1747825415879, 2D, Control Event, DOWN, 9 / 2
1747825416082, 2D, Control Event, DOWN, 10 / 2
