Timestamp, Selection, Source, Description, Index
1750181053903, 2D, State, INIT, 
1750181053911, 2D, State, START, 
1750181054727, 2D, Control Event, RIGHT, 7 / 6
1750181054758, 2D, State, START, 
1750181055285, 2D, User Event, Clicked, 6 / 5
1750181055307, 2D, State, START, 
1750181057051, 2D, State, WAIT, 
1750181075603, 2D, State, RESET, 
1750181075622, 2D, App Event, Target direction[Up_left], 4 / 4
1750181078704, 2D, Control Event, UP, 6 / 5
1750181078826, 2D, Control Event, UP, 5 / 5
1750181079997, 2D, Control Event, UP, 4 / 5
1750181081450, 2D, Control Event, LEFT, 4 / 4
1750181082249, 2D, Control Event, SELECT, 4 / 4
1750181082267, 2D, App Event, Target selected, 
1750181082287, 2D, State, WAIT, 
1750181105618, 2D, State, RESET, 
1750181105637, 2D, App Event, Target direction[Down_right], 9 / 6
1750181108455, 2D, Control Event, RIGHT, 7 / 6
1750181109590, 2D, Control Event, RIGHT, 7 / 7
1750181111226, 2D, Control Event, RIGHT, 7 / 8
1750181112863, 2D, Control Event, DOWN, 8 / 8
1750181113998, 2D, Control Event, RIGHT, 8 / 9
1750181115712, 2D, Control Event, DOWN, 9 / 9
1750181116750, 2D, Control Event, LEFT, 9 / 8
1750181117988, 2D, Control Event, LEFT, 9 / 7
1750181118092, 2D, Control Event, LEFT, 9 / 6
1750181118261, 2D, Control Event, LEFT, 9 / 5
1750181119622, 2D, Control Event, RIGHT, 9 / 6
1750181120236, 2D, Control Event, SELECT, 9 / 6
1750181120254, 2D, App Event, Target selected, 
1750181120273, 2D, State, WAIT, 
1750181144397, 2D, State, RESET, 
1750181144416, 2D, App Event, Target direction[Down_out_right], 13 / 9
1750181151755, 2D, Control Event, RIGHT, 7 / 6
1750181151972, 2D, Control Event, RIGHT, 7 / 7
1750181153508, 2D, Control Event, RIGHT, 7 / 8
1750181153704, 2D, Control Event, RIGHT, 7 / 9
1750181155552, 2D, Control Event, RIGHT, 7 / 9
1750181155714, 2D, Control Event, DOWN, 8 / 9
1750181156872, 2D, Control Event, DOWN, 9 / 9
